price,area,latitude,longitude,Bedrooms,Bathrooms,Price_sqft
5600000,1350,28.60885,77.46056,3,3,4148.148148
8800000,1490,28.37423557,76.95241631,3,3,5906.040268
16500000,2385,28.645769,77.38511,4,5,6918.238994
3810000,1050,28.566914,77.436434,2,2,3628.571429
6200000,1350,28.520732,77.356491,2,2,4592.592593
3700000,1150,28.62804,77.437809,2,2,3217.391304
3270000,890,28.610645,77.455837,2,2,3674.157303
3990000,850,28.471233,76.969597,2,2,4694.117647
3500000,960,28.5814311,77.4528192,2,2,3645.833333
5500000,1400,28.614181,77.427713,3,3,3928.571429
7300000,850,28.72407532,77.09558105,3,2,8588.235294
7700000,1250,28.436305,77.13605,2,2,6160
10500000,1615,28.51313972,77.0259552,3,3,6501.547988
7200000,1200,28.50746138,77.40781667,2,2,6000
7000000,1690,28.679009,77.34929514,3,3,4142.011834
9500000,1000,28.72143555,77.10701752,3,2,9500
15000000,1450,28.72721291,77.09606171,4,3,10344.82759
4800000,1175,28.61607805,77.42810225,2,2,4085.106383
5100000,1087,28.64431,77.33178711,2,2,4691.812328
14000000,1845,28.54692971,77.35438729,3,3,7588.075881
6250000,1400,28.449384,76.98441,2,2,4464.285714
8700000,1600,28.423049,77.08741,3,2,5437.5
13000000,1950,28.56973716,77.33241167,3,3,6666.666667
15000000,1800,28.529146,77.355843,2,3,8333.333333
5500000,1440,28.58749935,77.44316979,3,2,3819.444444
4200000,1040,28.616204,77.422256,2,2,4038.461538
3900000,1025,28.57223,77.474898,2,2,3804.878049
10000000,1836,28.6571606,77.355748,3,2,5446.623094
7600000,1350,28.645769,77.38511,3,2,5629.62963
3900000,800,28.387731,76.96791987,2,2,4875
9000000,1481,28.49744987,77.02709198,2,2,6076.975017
8350000,1398,28.54341218,77.367853,2,2,5972.818312
13500000,2150,28.43520877,77.09022523,3,3,6279.069767
5310000,1100,28.6467392,77.3709475,3,2,4827.272727
15000000,1960,28.3907304,77.05782257,3,3,7653.061224
17500000,2450,28.482277,76.99199526,3,3,7142.857143
5000000,1000,28.5604873,77.384084,2,2,5000
3500000,850,28.55985069,77.24765015,2,2,4117.647059
4550000,950,28.50809,77.2314673,3,2,4789.473684
4000000,700,28.558586,77.2511855,2,2,5714.285714
3500000,750,28.68956947,77.33861542,2,2,4666.666667
3500000,950,28.5905383,77.35981,2,2,3684.210526
2400000,540,28.5922718,77.0836792,2,2,4444.444444
80000000,5571,28.424904,77.03476,5,5,14360.07898
9500000,1200,28.652429,77.1643181,2,2,7916.666667
10500000,1020,28.3978564,77.07393158,2,2,10294.11765
7500000,1505,28.512136,76.986899,2,2,4983.388704
4800000,1232,28.65280724,77.4509201,6,3,3896.103896
5600000,929,28.436305,77.13605,2,2,6027.987083
8500000,1350,28.647938,77.340697,3,3,6296.296296
4700000,1085,28.646509,77.38148828,2,2,4331.797235
8500000,1790,28.512136,76.986899,3,3,4748.603352
10000000,1689,28.487018,76.998009,3,3,5920.663114
18000000,2411,28.391644,77.06486457,3,3,7465.781833
12400000,1650,28.6016823,77.03193279,3,2,7515.151515
7700000,1685,28.50920801,77.40662554,3,4,4569.732938
6000000,1050,28.648794,77.34253225,2,2,5714.285714
12500000,1300,28.59344,77.065951,2,2,9615.384615
6380000,1170,28.49589348,77.18599701,3,2,5452.991453
7400000,1275,28.28709602,77.06906128,2,2,5803.921569
8400000,1890,28.410466,76.962531,3,3,4444.444444
6400000,1455,28.570142,77.386273,3,2,4398.62543
19000000,1768,28.59343183,77.04427276,3,2,10746.60633
4300000,1295,28.566914,77.436434,2,2,3320.46332
23800000,3500,28.4818021,77.2200217,4,5,6800
10500000,1850,28.548787,77.346032,3,4,5675.675676
10800000,1966,28.247592,77.069185,2,2,5493.387589
5500000,1350,28.6493479,77.3696259,2,2,4074.074074
4320000,1040,28.509118,77.413416,2,2,4153.846154
3000000,800,28.6452824,77.3621025,2,2,3750
3500000,950,28.579593,77.445197,2,2,3684.210526
16000000,2000,28.4178669,77.0512457,4,4,8000
3000000,900,28.685449,77.5092258,2,2,3333.333333
3300000,960,28.51284137,77.48955332,2,2,3437.5
8200000,1371,28.433653,77.152919,2,2,5981.03574
6000000,1750,28.475274,77.545978,3,3,3428.571429
4100000,1299,28.519997,77.376873,3,2,3156.274057
5200000,1365,28.60595894,77.44451141,3,2,3809.52381
21000000,2800,28.4655907,77.5114027,4,5,7500
2650000,835,28.609898,77.436343,2,2,3173.652695
10000000,1000,28.6677244,77.0979515,2,2,10000
4500000,1000,28.63472366,77.04911041,3,2,4500
6900000,1260,28.58548927,77.39931488,2,2,5476.190476
13500000,2425,28.44456311,76.9550119,4,4,5567.010309
4500000,1198,28.63336372,77.43121338,3,2,3756.260434
32500000,3000,28.4969141,77.1652546,3,3,10833.33333
11000000,1743,28.419032,77.028272,3,3,6310.958118
3200000,650,28.59803581,77.07652283,2,2,4923.076923
3200000,815,28.446343,77.515305,2,2,3926.380368
3400000,1050,28.7005505,77.3286995,2,2,3238.095238
11100000,2100,28.46847725,77.31389618,4,3,5285.714286
3500000,900,28.6809994,77.356998,2,2,3888.888889
12500000,1836,28.414627,77.060127,3,3,6808.278867
8500000,1495,28.502597,77.428742,3,2,5685.618729
4200000,1040,28.616204,77.422256,2,2,4038.461538
82000000,5495,28.43618253,77.10430584,5,6,14922.65696
9000000,1250,28.64015875,77.0662659,2,2,7200
14000000,2500,28.68651581,77.29942322,3,2,5600
8900000,1815,28.45251307,76.97627035,3,3,4903.581267
3200000,1041,28.70183798,77.42320672,2,2,3073.967339
15000000,2000,28.412109,77.049522,4,4,7500
9200000,1960,28.393665,76.962842,3,3,4693.877551
11500000,1963,28.406752,76.96474017,3,3,5858.380031
6000000,1246,28.58632879,77.40106202,2,2,4815.40931
3900000,1085,28.473679,77.506258,2,2,3594.470046
3600000,995,28.606945,77.45557857,2,2,3618.090452
49000000,6168,28.470149,77.535673,5,5,7944.228275
7500000,1260,28.3824895,76.9823169,2,2,5952.380952
18000000,1700,28.5884566,77.304787,4,3,10588.23529
17200000,2025,28.58584227,77.06062479,3,2,8493.82716
17000000,1600,28.66662979,77.15222168,3,2,10625
5500000,1150,28.4974556,77.02713776,3,2,4782.608696
13000000,2300,28.65584564,77.3682251,4,4,5652.173913
9900000,1760,28.407361,76.93426176,3,2,5625
7000000,559,28.7295315,77.106949,2,2,12522.36136
5150000,1234,28.500621,77.424203,2,2,4173.419773
7500000,700,28.66287399,77.09776702,2,2,10714.28571
2630000,750,28.3924408,77.34424591,3,2,3506.666667
4600000,1000,28.618239,77.054361,3,2,4600
7500000,1390,28.548787,77.346032,3,2,5395.683453
7000000,1326,28.397731,77.036526,3,3,5279.034691
5800000,1270,28.524543,77.364765,3,3,4566.929134
5200000,1175,28.500621,77.424203,2,2,4425.531915
26000000,3755,28.52798043,77.354191,4,6,6924.101198
20000000,1650,28.666059,77.150134,3,3,12121.21212
3200000,800,28.5201861,77.179158,2,2,4000
8500000,1100,28.6288025,77.0958556,2,2,7727.272727
4320000,800,28.38762,77.06237,2,2,5400
6710000,1180,28.65493,77.350989,2,2,5686.440678
16900000,1935,28.45451736,77.08187103,3,4,8733.850129
12500000,1800,28.576661,77.339673,3,3,6944.444444
5000000,1200,28.57763481,77.39510345,3,2,4166.666667
12000000,1250,28.564363,77.24171,2,2,9600
2700000,770,28.49746704,77.02709961,2,2,3506.493506
11000000,1200,28.6017251,77.3178069,3,2,9166.666667
14000000,2500,28.51766396,77.07933044,5,5,5600
7500000,1675,28.446568,76.968477,3,3,4477.61194
